model_name,graph_id,oap_method,oap_params,device_type,cores,batch_size,load_time,exec_time,warmup_time,input_size
wideresnet-9b,3,PARAM_OAP,8,cpu,16,1,10.593780279159546,0.0,0.0,19922944
wideresnet-9b,4,PARAM_OAP,8,cpu,16,1,10.444716691970825,0.0,0.0,19922944
wideresnet-9b,5,PARAM_OAP,8,cpu,16,1,10.393296957015991,0.0,0.0,19922944
wideresnet-9b,6,PARAM_OAP,8,cpu,16,1,10.504260778427124,0.0,0.0,19922944
wideresnet-9b,7,PARAM_OAP,8,cpu,16,1,8.74162483215332,0.0,0.0,19922944
wideresnet-9b,0,PARAM_OAP,8,cuda:2,1,1,0.43817901611328125,0.0667881965637207,0.00012087821960449219,98304
wideresnet-9b,1,PARAM_OAP,8,cuda:2,1,1,2.0157651901245117,0.15021538734436035,0.3680105209350586,39845888
wideresnet-9b,2,PARAM_OAP,8,cuda:2,1,1,1.739562749862671,0.09227156639099121,0.00017189979553222656,19922944
wideresnet-9b,3,PARAM_OAP,8,cuda:2,1,1,1.0543110370635986,0.06751418113708496,0.12699270248413086,19922944
wideresnet-9b,4,PARAM_OAP,8,cuda:2,1,1,1.2869398593902588,0.0681450366973877,1.4066696166992188e-05,19922944
wideresnet-9b,5,PARAM_OAP,8,cuda:2,1,1,1.3430345058441162,0.0680232048034668,0.001689910888671875,19922944
wideresnet-9b,6,PARAM_OAP,8,cuda:2,1,1,0.708338737487793,0.0678873062133789,0.0011441707611083984,19922944
wideresnet-9b,7,PARAM_OAP,8,cuda:2,1,1,0.6966292858123779,0.05744194984436035,-6.222724914550781e-05,19922944
wideresnet-9b,0,TIME_OAP,8,cpu,16,1,1.8995029926300049,0.0,0.0,98304
wideresnet-9b,1,TIME_OAP,8,cpu,16,1,3.796463966369629,0.0,0.0,39845888
wideresnet-9b,2,TIME_OAP,8,cpu,16,1,8.381866931915283,0.0,0.0,39845888
wideresnet-9b,3,TIME_OAP,8,cpu,16,1,11.415451288223267,0.0,0.0,19922944
wideresnet-9b,4,TIME_OAP,8,cpu,16,1,12.107390642166138,0.0,0.0,19922944
wideresnet-9b,5,TIME_OAP,8,cpu,16,1,12.002634525299072,0.0,0.0,9961472
wideresnet-9b,6,TIME_OAP,8,cpu,16,1,12.066652059555054,0.0,0.0,19922944
wideresnet-9b,7,TIME_OAP,8,cpu,16,1,10.308456182479858,0.0,0.0,9961472
wideresnet-9b,0,TIME_OAP,8,cuda:2,1,1,0.5350534915924072,0.0751504898071289,0.008102178573608398,98304
wideresnet-9b,1,TIME_OAP,8,cuda:2,1,1,1.0630180835723877,0.0934901237487793,-0.0008971691131591797,39845888
wideresnet-9b,2,TIME_OAP,8,cuda:2,1,1,1.8771438598632812,0.09441733360290527,-0.0021457672119140625,39845888
wideresnet-9b,3,TIME_OAP,8,cuda:2,1,1,1.7271864414215088,0.08916759490966797,3.075599670410156e-05,19922944
wideresnet-9b,4,TIME_OAP,8,cuda:2,1,1,1.0875837802886963,0.08074712753295898,0.12575030326843262,19922944
wideresnet-9b,5,TIME_OAP,8,cuda:2,1,1,1.1264874935150146,0.08059382438659668,0.06062436103820801,9961472
wideresnet-9b,6,TIME_OAP,8,cuda:2,1,1,1.14845871925354,0.08056926727294922,0.001119375228881836,19922944
wideresnet-9b,7,TIME_OAP,8,cuda:2,1,1,1.0728883743286133,0.06757903099060059,0.044097185134887695,9961472
wideresnet-9b,0,ME_OAP,10.0-3,cpu,16,1,2.279102325439453,0.0,0.0,98304
wideresnet-9b,1,ME_OAP,10.0-3,cpu,16,1,24.717386960983276,0.0,0.0,79691776
wideresnet-9b,2,ME_OAP,10.0-3,cpu,16,1,44.39711093902588,0.0,0.0,9961472
wideresnet-9b,0,ME_OAP,10.0-3,cuda:2,1,1,0.6293065547943115,0.10023117065429688,-8.344650268554688e-05,98304
wideresnet-9b,1,ME_OAP,10.0-3,cuda:2,1,1,3.5190563201904297,0.25713539123535156,-0.0005700588226318359,79691776
wideresnet-9b,2,ME_OAP,10.0-3,cuda:2,1,1,5.949882507324219,0.2995331287384033,0.05225944519042969,9961472
whisper-large-v2,0,LATENCY_OAP,10.0-2,cpu,16,1,6.272972583770752,0.0,0.0,480000
whisper-large-v2,1,LATENCY_OAP,10.0-2,cpu,16,1,9.62240219116211,0.0,0.0,123049228
whisper-large-v2,0,LATENCY_OAP,10.0-2,cuda:2,1,1,1.856107234954834,0.06120491027832031,1.5939326286315918,480000
whisper-large-v2,1,LATENCY_OAP,10.0-2,cuda:2,1,1,1.9221796989440918,0.02007889747619629,0.013018608093261719,123049228
